Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
PI-0277,矽脂,矽脂,化學與潤滑,油品/清洗/表處,耗材,石油化學品,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,L,範疇3 類別1,lubricant / industrial chemicals,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/塑橡膠
PI-0533,UV油墨,UV油墨,印刷耗材,油墨/版材/紙材,耗材,紙/油墨/塗料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,printing ink / coated paper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,包材印刷
PI-0537,印刷用PS版,印刷用PS版,印刷耗材,油墨/版材/紙材,耗材,紙/油墨/塗料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,printing ink / coated paper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,包材印刷
PI-0529,大豆油墨,大豆油墨,印刷耗材,油墨/版材/紙材,耗材,紙/油墨/塗料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,printing ink / coated paper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,包材印刷
PI-0549,水性上光油,水性上光油,印刷耗材,油墨/版材/紙材,耗材,紙/油墨/塗料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,printing ink / coated paper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,包材印刷
PI-0541,銅版紙,銅版紙,印刷耗材,油墨/版材/紙材,耗材,紙/油墨/塗料,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,printing ink / coated paper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,包材印刷
PI-0281,ABS塑膠粒,ABS塑膠粒,塑膠原料,熱塑性樹脂,原料,熱塑性樹脂,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,plastic resin by polymer,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑膠/電子/包材
PI-0301,PA66尼龍塑膠粒,PA66尼龍塑膠粒,塑膠原料,熱塑性樹脂,原料,熱塑性樹脂,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,plastic resin by polymer,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑膠/電子/包材
PI-0297,PA6尼龍塑膠粒,PA6尼龍塑膠粒,塑膠原料,熱塑性樹脂,原料,熱塑性樹脂,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,plastic resin by polymer,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑膠/電子/包材
PI-0293,PC聚碳酸酯塑膠粒,PC聚碳酸酯塑膠粒,塑膠原料,熱塑性樹脂,原料,熱塑性樹脂,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,plastic resin by polymer,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑膠/電子/包材
PI-0313,PET再生塑膠粒,PET再生塑膠粒,塑膠原料,熱塑性樹脂,原料,熱塑性樹脂,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,plastic resin by polymer,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑膠/電子/包材
PI-0445,CNC車床加工費,CNC車床加工費,委外加工,金屬/表面/熱處理,服務,加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,batch,範疇3 類別1,metal processing service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/電子
PI-0449,CNC銑床加工費,CNC銑床加工費,委外加工,金屬/表面/熱處理,服務,加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,batch,範疇3 類別1,metal processing service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/電子
PI-0453,沖壓加工費,沖壓加工費,委外加工,金屬/表面/熱處理,服務,加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,batch,範疇3 類別1,metal processing service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/電子
PI-0457,焊接加工費,焊接加工費,委外加工,金屬/表面/熱處理,服務,加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,batch,範疇3 類別1,metal processing service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/電子
PI-0473,熱處理加工費,熱處理加工費,委外加工,金屬/表面/熱處理,服務,加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,batch,範疇3 類別1,metal processing service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/電子
PI-0553,PVC電線管,PVC電線管,工程廠務,管材/線材/安全用品,耗材,鋼/PVC/銅/纖維,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,construction materials / electrical cable / filter,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,工程/製造業廠務
PI-0573,安全防護手套,安全防護手套,工程廠務,管材/線材/安全用品,耗材,鋼/PVC/銅/纖維,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,construction materials / electrical cable / filter,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,工程/製造業廠務
PI-0569,工業排風扇,工業排風扇,工程廠務,管材/線材/安全用品,耗材,鋼/PVC/銅/纖維,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,construction materials / electrical cable / filter,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,工程/製造業廠務
PI-0565,無塵室濾網,無塵室濾網,工程廠務,管材/線材/安全用品,耗材,鋼/PVC/銅/纖維,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,construction materials / electrical cable / filter,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,工程/製造業廠務
PI-0045,內六角螺絲,內六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0057,六角螺帽,六角螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0041,六角螺絲,六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0049,十字機械螺絲,十字機械螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0393,CNC模具加工費,CNC模具加工費,模具與治具,模具零件/委外,資本品/服務,工具鋼/加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1或2,tool steel / machining service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑橡膠/金屬加工/機械
PI-0373,司筒,司筒,模具與治具,模具零件/委外,資本品/服務,工具鋼/加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1或2,tool steel / machining service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑橡膠/金屬加工/機械
PI-0385,定位環,定位環,模具與治具,模具零件/委外,資本品/服務,工具鋼/加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1或2,tool steel / machining service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑橡膠/金屬加工/機械
PI-0377,導柱導套,導柱導套,模具與治具,模具零件/委外,資本品/服務,工具鋼/加工服務,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1或2,tool steel / machining service,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,塑橡膠/金屬加工/機械
PI-0325,丁腈橡膠NBR,丁腈橡膠NBR,橡膠原料,橡膠/填料/助劑,原料,橡膠/填料/助劑,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,rubber / chemical additives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,橡膠/汽車零件/機械
PI-0329,三元乙丙橡膠EPDM,三元乙丙橡膠EPDM,橡膠原料,橡膠/填料/助劑,原料,橡膠/填料/助劑,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,rubber / chemical additives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,橡膠/汽車零件/機械
PI-0321,天然橡膠NR,天然橡膠NR,橡膠原料,橡膠/填料/助劑,原料,橡膠/填料/助劑,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,rubber / chemical additives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,橡膠/汽車零件/機械
PI-0353,橡膠促進劑,橡膠促進劑,橡膠原料,橡膠/填料/助劑,原料,橡膠/填料/助劑,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,rubber / chemical additives,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,橡膠/汽車零件/機械
PI-0145,PU氣管,PU氣管,氣油壓元件,氣缸/閥/接頭,零組件,鋼/鋁/塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0141,快速接頭,快速接頭,氣油壓元件,氣缸/閥/接頭,零組件,鋼/鋁/塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0121,標準氣缸,標準氣缸,氣油壓元件,氣缸/閥/接頭,零組件,鋼/鋁/塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0153,油壓泵,油壓泵,氣油壓元件,氣缸/閥/接頭,零組件,鋼/鋁/塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0581,塑膠棧板,塑膠棧板,物流批發,物流/倉儲耗材,包材,塑膠/紙/樹脂/鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,logistics packaging / warehouse equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,批發/物流/倉儲
PI-0593,封箱膠帶,封箱膠帶,物流批發,物流/倉儲耗材,包材,塑膠/紙/樹脂/鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,logistics packaging / warehouse equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,批發/物流/倉儲
PI-0585,條碼標籤紙,條碼標籤紙,物流批發,物流/倉儲耗材,包材,塑膠/紙/樹脂/鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,logistics packaging / warehouse equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,批發/物流/倉儲
PI-0589,熱轉印碳帶,熱轉印碳帶,物流批發,物流/倉儲耗材,包材,塑膠/紙/樹脂/鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,logistics packaging / warehouse equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,批發/物流/倉儲
PI-0101,V型皮帶,V型皮帶,軸承傳動,軸承/皮帶/鏈條,零組件,鋼/橡膠/工程塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0097,同步皮帶,同步皮帶,軸承傳動,軸承/皮帶/鏈條,零組件,鋼/橡膠/工程塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0093,圓錐滾子軸承,圓錐滾子軸承,軸承傳動,軸承/皮帶/鏈條,零組件,鋼/橡膠/工程塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0081,深溝滾珠軸承,深溝滾珠軸承,軸承傳動,軸承/皮帶/鏈條,零組件,鋼/橡膠/工程塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
PI-0013,SUS304不鏽鋼板,SUS304不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0017,SUS316不鏽鋼板,SUS316不鏽鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0033,不鏽鋼圓棒,不鏽鋼圓棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0001,冷軋鋼板,冷軋鋼板,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0493,功率電感,功率電感,電子材料,被動元件/連接器/板材,零組件,陶瓷/金屬/樹脂/半導體,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electronic components / printed circuit board,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,電子零組件
PI-0501,印刷電路板PCB,印刷電路板PCB,電子材料,被動元件/連接器/板材,零組件,陶瓷/金屬/樹脂/半導體,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electronic components / printed circuit board,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,電子零組件
PI-0481,晶片電阻,晶片電阻,電子材料,被動元件/連接器/板材,零組件,陶瓷/金屬/樹脂/半導體,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electronic components / printed circuit board,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,電子零組件
PI-0497,板對板連接器,板對板連接器,電子材料,被動元件/連接器/板材,零組件,陶瓷/金屬/樹脂/半導體,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electronic components / printed circuit board,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,電子零組件
PI-0161,三相感應馬達,三相感應馬達,電機電控,馬達/感測/控制,零組件,銅/鋼/電子元件,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electrical equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0165,伺服馬達,伺服馬達,電機電控,馬達/感測/控制,零組件,銅/鋼/電子元件,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electrical equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0181,光電感測器,光電感測器,電機電控,馬達/感測/控制,零組件,銅/鋼/電子元件,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electrical equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0177,可程式控制器PLC,可程式控制器PLC,電機電控,馬達/感測/控制,零組件,銅/鋼/電子元件,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,electrical equipment,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
