training_id,query,standard_name,major_category,top3_hit,first_choice_hit,hit_terms,result_tier,best_name,best_source,best_similarity,latency_sec
PI-0244,切削油-採購,切削油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09503216700000294
PI-0261,工業清洗劑,工業清洗劑,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09422795800000117
PI-0262,工業清洗劑 L,工業清洗劑,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.0947202080000018
PI-0263,工業清洗劑 常用規格,工業清洗劑,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.13583225
PI-0264,工業清洗劑-採購,工業清洗劑,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09558200000000028
PI-0245,水溶性切削液,水溶性切削液,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09288558300000105
PI-0246,水溶性切削液 L,水溶性切削液,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09510154199999832
PI-0247,水溶性切削液 常用規格,水溶性切削液,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.0979770000000002
PI-0248,水溶性切削液-採購,水溶性切削液,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09694404200000051
PI-0249,液壓油,液壓油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09285708300000195
PI-0250,液壓油 L,液壓油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09444204200000073
PI-0251,液壓油 常用規格,液壓油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09578387500000218
PI-0252,液壓油-採購,液壓油,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09503624999999971
PI-0277,矽脂,矽脂,化學與潤滑,True,True,1:industrial | 2:lubricant | 3:lubricant,1,事業廢棄物 / Industrial Wastes 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.09200641700000034
PI-0533,UV油墨,UV油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09841041600000011
PI-0534,UV油墨 kg,UV油墨,印刷耗材,False,False,,1,預拌混凝土(350kgf/cm2，飛灰爐石替代率50％),Taiwan EPA,0.925,0.14348429200000012
PI-0535,UV油墨 常用規格,UV油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09740533400000118
PI-0536,UV油墨-採購,UV油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09524562499999689
PI-0537,印刷用PS版,印刷用PS版,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09255433299999893
PI-0538,印刷用PS版 kg,印刷用PS版,印刷耗材,False,False,,1,預拌混凝土(350kgf/cm2，飛灰爐石替代率50％),Taiwan EPA,0.925,0.1121149999999993
PI-0539,印刷用PS版 常用規格,印刷用PS版,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09458925000000207
PI-0540,印刷用PS版-採購,印刷用PS版,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09553479200000226
PI-0529,大豆油墨,大豆油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09201799999999949
PI-0530,大豆油墨 kg,大豆油墨,印刷耗材,False,False,,1,預拌混凝土(350kgf/cm2，飛灰爐石替代率50％),Taiwan EPA,0.925,0.11128641599999867
PI-0531,大豆油墨 常用規格,大豆油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09426016699999806
PI-0532,大豆油墨-採購,大豆油墨,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09557379199999971
PI-0549,水性上光油,水性上光油,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09457962499999795
PI-0550,水性上光油 kg,水性上光油,印刷耗材,False,False,,1,預拌混凝土(350kgf/cm2，飛灰爐石替代率50％),Taiwan EPA,0.925,0.11513283400000063
PI-0551,水性上光油 常用規格,水性上光油,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09749583400000006
PI-0552,水性上光油-採購,水性上光油,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09691837499999778
PI-0541,銅版紙,銅版紙,印刷耗材,True,True,1:ink,1,熟料（Clinker） CO2（公噸/公噸熟料）,CCA GHG Factor Table,0.925,0.09358516700000052
PI-0281,ABS塑膠粒,ABS塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09424837499999938
PI-0282,ABS塑膠粒 kg,ABS塑膠粒,塑膠原料,False,False,,1,烤酥油 (18 kg),Taiwan EPA,1.0,0.11375370900000092
PI-0283,ABS塑膠粒 常用規格,ABS塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09707058300000071
PI-0284,ABS塑膠粒-採購,ABS塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0968740419999996
PI-0301,PA66尼龍塑膠粒,PA66尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09760662500000095
PI-0302,PA66尼龍塑膠粒 kg,PA66尼龍塑膠粒,塑膠原料,False,False,,1,烤酥油 (18 kg),Taiwan EPA,1.0,0.11428762499999934
PI-0303,PA66尼龍塑膠粒 常用規格,PA66尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09796024999999986
PI-0304,PA66尼龍塑膠粒-採購,PA66尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09704299999999932
PI-0297,PA6尼龍塑膠粒,PA6尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09546850000000262
PI-0298,PA6尼龍塑膠粒 kg,PA6尼龍塑膠粒,塑膠原料,False,False,,1,烤酥油 (18 kg),Taiwan EPA,1.0,0.11752170800000172
PI-0299,PA6尼龍塑膠粒 常用規格,PA6尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09878124999999827
PI-0300,PA6尼龍塑膠粒-採購,PA6尼龍塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.10170787500000245
PI-0293,PC聚碳酸酯塑膠粒,PC聚碳酸酯塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09835199999999844
PI-0294,PC聚碳酸酯塑膠粒 kg,PC聚碳酸酯塑膠粒,塑膠原料,False,False,,1,烤酥油 (18 kg),Taiwan EPA,1.0,0.116876125000001
PI-0295,PC聚碳酸酯塑膠粒 常用規格,PC聚碳酸酯塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09913858400000208
PI-0296,PC聚碳酸酯塑膠粒-採購,PC聚碳酸酯塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0992640420000015
PI-0313,PET再生塑膠粒,PET再生塑膠粒,塑膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09483875000000097
PI-0445,CNC車床加工費,CNC車床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09102362499999828
PI-0446,CNC車床加工費 batch,CNC車床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09794833299999794
PI-0447,CNC車床加工費 常用規格,CNC車床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.12945070900000033
PI-0448,CNC車床加工費-採購,CNC車床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09392387499999799
PI-0449,CNC銑床加工費,CNC銑床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09325391599999833
PI-0450,CNC銑床加工費 batch,CNC銑床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09427637499999975
PI-0451,CNC銑床加工費 常用規格,CNC銑床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0944189580000021
PI-0452,CNC銑床加工費-採購,CNC銑床加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0949647500000026
PI-0453,沖壓加工費,沖壓加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09222462500000006
PI-0454,沖壓加工費 batch,沖壓加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09389358299999984
PI-0455,沖壓加工費 常用規格,沖壓加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09315245900000235
PI-0456,沖壓加工費-採購,沖壓加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0927262500000019
PI-0457,焊接加工費,焊接加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09042108300000251
PI-0458,焊接加工費 batch,焊接加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09401616699999948
PI-0459,焊接加工費 常用規格,焊接加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09324550000000187
PI-0460,焊接加工費-採購,焊接加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09679316700000129
PI-0473,熱處理加工費,熱處理加工費,委外加工,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09332649999999987
PI-0553,PVC電線管,PVC電線管,工程廠務,True,True,1:electrical | 2:materials | 3:materials,2,PVDC (Polyvinyliden chloride) co-firing in electrical power plant,Idemat,0.8226097822189331,0.08767004200000272
PI-0554,PVC電線管 pcs,PVC電線管,工程廠務,True,True,1:electrical | 2:materials | 3:materials,2,PVDC (Polyvinyliden chloride) co-firing in electrical power plant,Idemat,0.8170660734176636,0.09006570900000099
PI-0555,PVC電線管 常用規格,PVC電線管,工程廠務,True,True,1:electrical | 2:materials | 3:materials,2,PVDC (Polyvinyliden chloride) co-firing in electrical power plant,Idemat,0.801654577255249,0.0901097919999998
PI-0556,PVC電線管-採購,PVC電線管,工程廠務,True,True,1:materials | 2:electrical | 3:materials,2,PV cell,FootprintCalc,0.7983983755111694,0.09133079200000083
PI-0573,安全防護手套,安全防護手套,工程廠務,False,False,,2,Ammunition (except Small Arms) Manufacturing,EPA Supply Chain v1.3.0,0.7073327302932739,0.08863766700000042
PI-0574,安全防護手套 pcs,安全防護手套,工程廠務,False,False,,2,Security Systems Services (except Locksmiths),EPA Supply Chain v1.3.0,0.7065525054931641,0.0931747499999993
PI-0575,安全防護手套 常用規格,安全防護手套,工程廠務,False,False,,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.7216623425483704,0.10381525000000025
PI-0576,安全防護手套-採購,安全防護手套,工程廠務,False,False,,2,Ammunition (except Small Arms) Manufacturing,EPA Supply Chain v1.3.0,0.7164603471755981,0.09179666700000055
PI-0569,工業排風扇,工業排風扇,工程廠務,True,False,2:construction,2,Rolling Mill and Other Metalworking Machinery Manufacturing,EPA Supply Chain v1.3.0,0.7475228309631348,0.08846499999999935
PI-0570,工業排風扇 pcs,工業排風扇,工程廠務,True,False,2:electrical | 3:materials,2,"PCB of washing machine (including componenets, excluding ICs)",Idemat,0.7606850862503052,0.09244191700000215
PI-0571,工業排風扇 常用規格,工業排風扇,工程廠務,False,False,,2,Other Industrial Machinery Manufacturing,EPA Supply Chain v1.3.0,0.7115781307220459,0.09264474999999806
PI-0572,工業排風扇-採購,工業排風扇,工程廠務,False,False,,2,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,EPA Supply Chain v1.3.0,0.7452448010444641,0.09017733299999975
PI-0565,無塵室濾網,無塵室濾網,工程廠務,True,True,1:construction | 2:construction | 3:construction,3,Construction work (45),EXIOBASE,0.77,0.0007101660000010668
PI-0566,無塵室濾網 pcs,無塵室濾網,工程廠務,True,True,1:construction | 2:construction | 3:construction,3,Construction work (45),EXIOBASE,0.77,0.000475374999997058
PI-0567,無塵室濾網 常用規格,無塵室濾網,工程廠務,True,True,1:construction | 2:construction | 3:construction,3,Construction work (45),EXIOBASE,0.77,0.0004557500000004211
PI-0568,無塵室濾網-採購,無塵室濾網,工程廠務,True,True,1:construction | 2:construction | 3:construction,3,Construction work (45),EXIOBASE,0.77,0.00044145800000094937
PI-0561,耐熱電纜,耐熱電纜,工程廠務,False,False,,2,Electricity Montserrat production,Idemat,0.7749748826026917,0.09111245899999787
PI-0045,內六角螺絲,內六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09388750000000101
PI-0046,內六角螺絲 pcs,內六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09705045799999823
PI-0047,內六角螺絲 常用規格,內六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09076279100000306
PI-0048,內六角螺絲-採購,內六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09620704199999963
PI-0057,六角螺帽,六角螺帽,標準扣件,True,True,1:steel | 2:steel | 3:steel,2,Steel (21% sec = standard mix average) EU hot rolled coil,Idemat,0.7648613452911377,0.0925760000000011
PI-0058,六角螺帽 pcs,六角螺帽,標準扣件,True,False,2:steel | 3:steel,2,"PCB of washing machine (including componenets, excluding ICs)",Idemat,0.7375859022140503,0.09500050000000115
PI-0059,六角螺帽 常用規格,六角螺帽,標準扣件,True,True,1:steel | 2:steel | 3:steel,2,Steel (21% sec = standard mix average) EU hot rolled coil,Idemat,0.7358235120773315,0.09447524999999857
PI-0060,六角螺帽-採購,六角螺帽,標準扣件,True,True,1:steel | 2:steel | 3:steel,2,"Steel beams, pipes, sheet (from trade mix 44% recycled)",Idemat,0.7432897686958313,0.09487787499999811
PI-0041,六角螺絲,六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.0901038750000005
PI-0042,六角螺絲 pcs,六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09397020800000178
PI-0043,六角螺絲 常用規格,六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09006858399999729
PI-0044,六角螺絲-採購,六角螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09534020799999965
PI-0049,十字機械螺絲,十字機械螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09457345799999928
PI-0050,十字機械螺絲 pcs,十字機械螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09575016599999842
PI-0051,十字機械螺絲 常用規格,十字機械螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.08915079199999809
PI-0052,十字機械螺絲-採購,十字機械螺絲,標準扣件,True,True,1:螺絲 | 2:螺絲,1,螺絲(含球化與表面皮膜處理及電鍍),Taiwan EPA,1.0,0.09337008299999994
PI-0061,尼龍防鬆螺帽,尼龍防鬆螺帽,標準扣件,True,True,1:steel | 2:steel | 3:steel,2,Steel (21% sec = standard mix average) EU hot rolled coil,Idemat,0.7500748634338379,0.09350283300000228
PI-0393,CNC模具加工費,CNC模具加工費,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.130756667
PI-0394,CNC模具加工費 pcs,CNC模具加工費,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.10164845899999975
PI-0395,CNC模具加工費 常用規格,CNC模具加工費,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.1003670000000021
PI-0396,CNC模具加工費-採購,CNC模具加工費,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.10048804200000205
PI-0373,司筒,司筒,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09399254199999874
PI-0374,司筒 pcs,司筒,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.0954157500000008
PI-0375,司筒 常用規格,司筒,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09221320800000044
