standard_id,query,expected_tier_name,expected_factor_name,expected_scope3_category,top3_hit,first_choice_hit,hit_terms,result_tier,best_name,best_source,best_similarity,latency_sec
RB-00013,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.1119979169999965
RB-00014,高壓反應釜 SUS316L / 5000L,係數對照表,C-29 機械設備製造業 (EEIO),Category 2 (Capital Goods),True,True,1:c-29 | 2:c-29 | 3:c-29,3,Machinery and equipment n.e.c. (29),EXIOBASE,0.77,0.0014189580000021351
RB-00015,工業離心分離機 Vertical Batch / Explosion-Proof,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),Category 2 (Capital Goods),True,True,1:machinery | 2:machinery | 3:machinery,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.11200937499999952
RB-00016,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09684833400000059
RB-00017,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.0916780000000017
RB-00018,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10018308400000109
RB-00019,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09161741700000192
RB-00020,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09154158399999801
RB-00021,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10086633400000267
RB-00022,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10271154199999444
RB-00023,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09697274999999905
RB-00024,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.11274004100000212
RB-00025,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10890258399999908
RB-00026,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.10020283299999733
RB-00027,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.11184666700000179
RB-00028,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10365129199999501
RB-00029,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10908787500000017
RB-00030,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09202524999999895
RB-00031,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09199545900000317
RB-00032,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1085935000000049
RB-00033,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.11288012499999667
RB-00034,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10983179199999427
RB-00035,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1048704579999935
RB-00036,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10496816700000267
RB-00037,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1024480419999989
RB-00038,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10679104199999756
RB-00039,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10142075000000261
RB-00040,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10187916699999988
RB-00041,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09841104199999506
RB-00042,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.104915333000001
RB-00043,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10181550000000072
RB-00044,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09860116699999821
RB-00045,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09707650000000001
RB-00046,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10317249999999945
RB-00047,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10688116599999375
RB-00048,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10377033299999994
RB-00049,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10313495900000191
RB-00050,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10706645799999848
RB-00051,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10182370799999774
RB-00052,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09374708399999321
RB-00053,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10346295799999439
RB-00054,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09781591699999836
RB-00055,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.09933137500000555
RB-00056,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09196391599999743
RB-00057,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10715716600000036
RB-00058,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09533375000000177
RB-00059,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10575216699999856
RB-00060,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10605925000000127
RB-00061,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10925716600000612
RB-00062,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10233429200000188
RB-00063,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.11079708300000135
RB-00064,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10813233300000036
RB-00065,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.1509885409999967
RB-00066,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10353658399999688
RB-00067,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09410950000000184
RB-00068,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1012097919999988
RB-00069,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10690345900000153
RB-00070,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09972695900000161
RB-00071,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10306433399999548
RB-00072,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09196554199999696
RB-00073,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10351720799999953
RB-00074,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09421408400000075
RB-00075,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.1014784169999956
RB-00076,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09348687500000352
RB-00077,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.10199262500000117
RB-00078,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09446524999999895
RB-00079,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1052515829999976
RB-00080,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10743504099999512
RB-00081,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1049841669999978
RB-00082,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09982550000000145
RB-00083,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10369762500000235
RB-00084,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09240837499999799
RB-00085,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10600349999999992
RB-00086,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.1033287910000027
RB-00087,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09935208299999942
RB-00088,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10355033300000116
RB-00089,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.09995362499999771
RB-00090,環氧樹脂 (Epoxy) E-44 Low Viscosity,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",Category 1 (Purchased Goods),False,False,,1,環氧樹脂,Taiwan EPA,1.0,0.09937049999999914
RB-00091,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09397379199999989
RB-00092,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09565870900000562
RB-00093,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09640429200000256
RB-00094,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10858841699999999
RB-00095,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09377129099999593
RB-00096,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09377208300000461
RB-00097,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.10318087499999962
RB-00098,ABS 樹脂顆粒 Injection Grade / High Impact,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,Category 1 (Purchased Goods),False,False,,1,ABS再生塑膠粒,Taiwan EPA,0.925,0.10478849999999795
RB-00099,乙烯單體 (Ethylene) 99.9% Purity,Tier 2 - 國際產業,Ethylene glycol diethyl ether,Category 1 (Purchased Goods),False,False,,1,氯乙烯單體(VCM),Taiwan EPA,0.925,0.09238058399999716
RB-00100,工業級催化劑 Platinum Based / Powder,Tier 2 - 國際產業,"Platinum, CRM (secondary)",Category 1 (Purchased Goods),True,True,1:platinum crm secondary | 2:platinum crm secondary,2,"Platinum, CRM (secondary)",FootprintCalc,0.8381657600402832,0.09954008399999736
RB-00101,Item Name Spec/Grade,Tier 3 - EEIO 模型,Precious metals,Scope 3 Category,False,False,,1,特殊（TV面版）(Specialty (TV Panel)) CO2排放係數（公噸/公噸玻璃）,CCA GHG Factor Table,0.925,0.09248354200000364
RB-00102,品名 規格/等級,Tier 3 - EEIO 模型,Fish products,代碼,True,True,1:fish products | 3:products,3,Fish products,EXIOBASE,0.7374338507652283,0.1083226659999994
RB-00103,"乙烯 (Ethylene) Polymer Grade, Pipeline Supply",Tier 2 - 國際產業,Elastane (polyurethane) polymer pellet production,MAT-PET-001,False,False,,1,乙烯,Taiwan EPA,1.0,0.1271520830000057
RB-00104,"低密度聚乙烯 (LDPE) Injection Grade, MFI=7",係數對照表,塑膠原料-低密度聚乙烯顆粒,MAT-PET-002,False,False,,1,低密度聚乙烯(LDPE),Taiwan EPA,1.0,0.10481879199999611
RB-00105,"聚氯乙烯 (PVC) 粒 S-65, Suspension Grade",係數對照表,塑膠原料-聚氯乙烯樹脂,MAT-PET-003,False,False,,1,聚氯乙烯,Taiwan EPA,1.0,0.10945224999999681
RB-00106,"反應爐攪拌翼 (Agitator) SUS316L, Hastelloy C Coating",Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),MAT-PET-004,False,False,,2,MIG-arc welding Al 6 V-jnt,Idemat,0.7571804523468018,0.1129327499999988
RB-00107,苯 (Benzene) Nitration Grade,Tier 1 - 台灣本地,"四氫呋喃(1,3-丁二烯製程)",MAT-PET-005,False,False,,2,Benzene,Idemat,0.8274549841880798,0.10148504200000019
RB-00108,熱穩定劑 (Stabilizer) Ba-Zn Liquid complex,Tier 2 - 國際產業,ZnCuTi,MAT-PET-006,False,False,,1,其他液體生質燃料 / Other Liquid Biofuels 固定燃燒排放係數,CCA GHG Factor Table,1.0,0.10030866600000365
RB-00109,"鈦白粉 (TiO2) Rutile Grade, R-902",係數對照表,化學助劑-二氧化鈦顏料,MAT-PET-007,False,False,,1,合成金紅石(>90 % 二氧化鈦)(Synthetic rutile) CO2排放係數（公噸/公噸產品）,CCA GHG Factor Table,1.0,0.09867424999999486
RB-00110,"冷卻水塔 (Cooling Tower) Cross Flow, 500RT",Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),MAT-PET-008,False,False,,2,Waterborne Craft,GHG Protocol Cross-Sector v2.0 (2024),0.7227241396903992,0.10973987500000248
RB-00111,鄰苯二甲酸二辛酯 (DOP) Plasticizer Grade,Tier 1 - 台灣本地,再生料-廢塑膠容器-發泡PS廢塑膠粒,MAT-PET-009,False,False,,3,Electrical machinery and apparatus n.e.c. (31),EXIOBASE,0.77,0.12070054099999794
