training_id,query,standard_name,major_category,top3_hit,first_choice_hit,hit_terms,result_tier,best_name,best_source,best_similarity,latency_sec
PI-0393,CNC模具加工費,CNC模具加工費,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09450100000000106
PI-0373,司筒,司筒,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09185574999999879
PI-0385,定位環,定位環,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09082387499999989
PI-0377,導柱導套,導柱導套,模具與治具,True,True,1:金屬製品 | 3:金屬製品,3,"Fabricated metal products, except machinery and equipment (28)",EXIOBASE,0.77,0.09058412499999946
PI-0325,丁腈橡膠NBR,丁腈橡膠NBR,橡膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09306195799999983
PI-0329,三元乙丙橡膠EPDM,三元乙丙橡膠EPDM,橡膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09252658299999972
PI-0321,天然橡膠NR,天然橡膠NR,橡膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09188175000000065
PI-0353,橡膠促進劑,橡膠促進劑,橡膠原料,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09216295899999949
PI-0145,PU氣管,PU氣管,氣油壓元件,True,True,1:machinery,2,Oil and Gas Field Machinery and Equipment Manufacturing,EPA Supply Chain v1.3.0,0.8139077425003052,0.09474604199999881
PI-0141,快速接頭,快速接頭,氣油壓元件,True,True,1:machinery,2,Oil and Gas Field Machinery and Equipment Manufacturing,EPA Supply Chain v1.3.0,0.8146078586578369,0.09450295899999972
PI-0121,標準氣缸,標準氣缸,氣油壓元件,True,True,1:machinery,2,Oil and Gas Field Machinery and Equipment Manufacturing,EPA Supply Chain v1.3.0,0.8295888900756836,0.09439391700000144
PI-0153,油壓泵,油壓泵,氣油壓元件,True,True,1:machinery,2,Oil and Gas Field Machinery and Equipment Manufacturing,EPA Supply Chain v1.3.0,0.8287855386734009,0.09447395800000002
PI-0581,塑膠棧板,塑膠棧板,物流批發,False,False,,2,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,EPA Supply Chain v1.3.0,0.7915700674057007,0.09165883400000041
PI-0593,封箱膠帶,封箱膠帶,物流批發,False,False,,2,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,EPA Supply Chain v1.3.0,0.7779651880264282,0.08615387499999905
PI-0585,條碼標籤紙,條碼標籤紙,物流批發,False,False,,2,Printing and Writing Paper Merchant Wholesalers,EPA Supply Chain v1.3.0,0.771909773349762,0.08748670800000014
PI-0589,熱轉印碳帶,熱轉印碳帶,物流批發,True,False,3:equipment,2,Carbon and Graphite Product Manufacturing,EPA Supply Chain v1.3.0,0.8345376253128052,0.08850962500000037
PI-0101,V型皮帶,V型皮帶,軸承傳動,True,False,3:components,2,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,EPA Supply Chain v1.3.0,0.7591032981872559,0.09450625000000024
PI-0097,同步皮帶,同步皮帶,軸承傳動,False,False,,2,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",EPA Supply Chain v1.3.0,0.7101521492004395,0.0867422919999985
PI-0093,圓錐滾子軸承,圓錐滾子軸承,軸承傳動,False,False,,2,Rolled Steel Shape Manufacturing,EPA Supply Chain v1.3.0,0.7310647964477539,0.09740541599999908
PI-0081,深溝滾珠軸承,深溝滾珠軸承,軸承傳動,True,False,3:machinery,2,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,EPA Supply Chain v1.3.0,0.7739918231964111,0.0944938749999995
PI-0013,SUS304不鏽鋼板,SUS304不鏽鋼板,金屬原料,True,True,1:steel | 2:steel | 3:steel,2,"Steel beams, pipes, sheet (from trade mix 44% recycled)",Idemat,0.8153676986694336,0.08626199999999962
PI-0017,SUS316不鏽鋼板,SUS316不鏽鋼板,金屬原料,True,False,2:steel | 3:steel,2,GS-X40CrNiSi 25 12,Idemat,0.806460976600647,0.08684404199999918
PI-0033,不鏽鋼圓棒,不鏽鋼圓棒,金屬原料,True,True,1:steel | 2:steel | 3:steel,2,"Steel beams, pipes, sheet (from trade mix 44% recycled)",Idemat,0.8356579542160034,0.08556508299999876
PI-0001,冷軋鋼板,冷軋鋼板,金屬原料,True,True,1:鋼 | 2:鋼 | 3:鋼,1,不鏽鋼冷軋鋼捲,Taiwan EPA,1.0,0.09058229199999879
PI-0493,功率電感,功率電感,電子材料,False,False,,2,"Electricity Low Voltage, domestic use General",Idemat,0.8211244940757751,0.08675779200000022
PI-0501,印刷電路板PCB,印刷電路板PCB,電子材料,True,True,1:electronic | 2:printed,2,PCB = Printed Circuit Board (empty),Idemat,0.8399347066879272,0.08750449999999965
PI-0481,晶片電阻,晶片電阻,電子材料,True,True,1:晶片電阻,1,晶片電阻,Taiwan EPA,1.0,0.08055999999999841
PI-0497,板對板連接器,板對板連接器,電子材料,True,True,1:electronic | 2:board | 3:electronic,2,PCB = Printed Circuit Board (empty),Idemat,0.7531594038009644,0.0863687500000001
PI-0161,三相感應馬達,三相感應馬達,電機電控,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.0892564999999994
PI-0165,伺服馬達,伺服馬達,電機電控,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.09188858399999944
PI-0181,光電感測器,光電感測器,電機電控,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.08934416700000014
PI-0177,可程式控制器PLC,可程式控制器PLC,電機電控,False,False,,3,Office machinery and computers (30),EXIOBASE,0.77,0.08945491599999755
