製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類
空運,貨物下游運輸與配送產生之排放,--,"266,975.9103",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,石墨電極,,"1,509.8201",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,氮氣,,"155,006.9010",M3,ERP,財務,定期(間歇)量測
購買商品之上游排放,矽鐵,,"7,148.8674",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,石灰石,,"8,653.3591",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,白雲石,,"35,068.8823",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,氧氣,,"534,339.9993",M3,ERP,財務,定期(間歇)量測
購買商品之上游排放,生鐵,,"37,476.7950",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,生鐵,,"42,014.6722",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,矽鐵,,"6,590.7068",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,耐火材料,,648.7913,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氧氣,,"2,785,232.6637",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鎳鐵,,790.3844,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,"2,466.3849",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氬氣,,"27,289.5544",M3,ERP,財務,定期(間歇)量測
購買商品之上游排放,氧氣,,"2,444,564.3620",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氧氣,,"894,570.4420",M3,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鉻鐵,,"2,697.3711",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,石灰石,,"9,583.5337",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,石灰石,,"18,579.7212",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,白雲石,,"25,337.2252",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氮氣,,"303,192.4288",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氮氣,,"1,871,229.6239",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氮氣,,"330,520.0007",M3,ERP,總務課,定期(間歇)量測
購買商品之上游排放,生鐵,,"32,178.6673",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,潤滑油,,131.0212,公秉,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氬氣,,"152,653.7452",M3,ERP,總務課,定期(間歇)量測
購買商品之上游排放,潤滑油,,94.3557,公秉,ERP,財務,定期(間歇)量測
購買商品之上游排放,電力,,"8,321,147.6207",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"117,725.2525",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,979.8003,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,70.8666,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"87,038.1489",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
其他未分類製程-其他未歸類設施,其他電力,外購電力,"68,391.1732",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),1.1886,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),31.9300,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),18.3556,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),11.5919,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0331,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"493,794.4827",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0343,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0015,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0179,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0073,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0003,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0085,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0053,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0004,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0470,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0014,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0064,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0014,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0196,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0021,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0071,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"24,419.1718",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"1,758,803.6516",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"110,791.2578",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"901,489.8694",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"22,748.1898",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"258,874.7227",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,生鐵,,"10,405.8810",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,石墨電極,,"1,277.5943",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氮氣,,"203,678.3023",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鉻鐵,,"2,453.5712",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,軋輥,,770.5110,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,耐火材料,,"2,021.8017",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,氧氣,,"542,165.6496",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,石墨電極,,560.1734,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,生鐵,,"28,109.9139",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,軋輥,,558.2563,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,氮氣,,"395,715.4781",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,軋輥,,787.0238,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鎳鐵,,179.5726,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,潤滑油,,16.3896,公秉,ERP,財務,定期(間歇)量測
購買商品之上游排放,氬氣,,"298,657.6779",M3,ERP,財務,定期(間歇)量測
購買商品之上游排放,氧氣,,"109,697.3283",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鉻鐵,,557.1199,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,潤滑油,,22.7252,公秉,ERP,財務,定期(間歇)量測
購買商品之上游排放,廢鋼,,"229,345.1704",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,軋輥,,84.8076,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,耐火材料,,"2,350.0864",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,軋輥,,295.3911,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,軋輥,,648.4445,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,"1,764.9027",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,潤滑油,,8.9214,公秉,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氬氣,,"17,345.2370",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,電力,,"6,239,985.9197",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"212,427.1399",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,512.8862,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,114.4169,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"63,694.8598",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
其他未分類製程-其他未歸類設施,其他電力,外購電力,"26,931.0160",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),19.6894,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),75.0144,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),45.3108,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),0.6762,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0253,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"1,208,008.9853",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0247,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0013,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-住宅及商業建築冷氣機,PFC-14，四氟化碳，CF4,逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0060,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0466,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,PFC-14，四氟化碳，CF4,逸散 (F),0.0001,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0016,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,PFC-14，四氟化碳，CF4,逸散 (F),0.0004,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0051,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,PFC-14，四氟化碳，CF4,逸散 (F),0.0006,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0003,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0054,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0016,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"2,344,560.7566",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"2,317,316.5793",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"66,060.4794",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"930,288.3721",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"41,955.2120",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"58,062.7639",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,石灰石,,"9,921.7132",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,潤滑油,,36.6139,公秉,ERP,採購部,定期(間歇)量測
購買商品之上游排放,矽鐵,,"7,469.5491",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,745.2489,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,潤滑油,,9.5474,公秉,ERP,財務,定期(間歇)量測
購買商品之上游排放,潤滑油,,38.1582,公秉,ERP,總務課,定期(間歇)量測
購買商品之上游排放,石灰石,,"38,076.3423",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,氬氣,,"32,056.2375",M3,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,"4,741.8948",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,石墨電極,,683.4531,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,白雲石,,"13,203.9128",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,錳鐵,,536.3956,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,石灰石,,"7,383.5386",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鎳鐵,,414.3826,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,242.3285,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,矽鐵,,520.7011,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,錳鐵,,"6,706.6126",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,白雲石,,"2,796.7376",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,廢鋼,,"360,808.8454",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,錳鐵,,"4,228.8531",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,白雲石,,"6,967.3181",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,氬氣,,"99,633.4158",M3,ERP,採購部,定期(間歇)量測
購買商品之上游排放,氬氣,,"80,984.3168",M3,ERP,總務課,定期(間歇)量測
購買商品之上游排放,白雲石,,"16,634.1210",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋅錠(鍍鋅),,504.5538,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,生鐵,,"106,638.4861",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,廢鋼,,"50,955.1111",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,軋輥,,553.9230,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,石灰石,,"9,456.5052",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,電力,,"14,687,900.8353",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"372,257.1613",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,"1,935.9501",mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,412.7173,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"24,521.1273",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
其他未分類製程-其他未歸類設施,其他電力,外購電力,"10,222.7020",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),19.5741,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),88.2700,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),23.7040,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),5.8801,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0584,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"219,307.5876",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.2023,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0025,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0400,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,PFC-14，四氟化碳，CF4,逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0076,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0012,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0019,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0021,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0076,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0032,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"3,281,023.1099",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"33,678.6631",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"409,607.9714",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"1,325,394.3578",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"12,875.5284",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"372,762.8690",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,錳鐵,,"3,926.5796",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,錳鐵,,"1,012.2270",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,軋輥,,139.9342,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,軋輥,,868.0080,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,錳鐵,,"1,837.4542",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,耐火材料,,895.4377,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鎳鐵,,295.0882,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,耐火材料,,"2,949.8846",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,石墨電極,,423.3614,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,廢鋼,,"55,147.5817",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鉻鐵,,780.0216,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鎳鐵,,373.6120,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,廢鋼,,"109,238.1392",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,耐火材料,,504.0435,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,石墨電極,,"1,030.5343",公噸,ERP,總務課,定期(間歇)量測
