製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.4521,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.0371,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.0328,公噸,冷媒設備清冊,環保課,自行評估
其他未分類製程-其他未歸類設施,其他電力,外購電力,"8,807.2627",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),1.5321,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),41.2848,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),32.6707,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),13.6631,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0196,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"645,716.8046",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.1774,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0002,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-獨立商用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0135,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0034,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0121,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.1068,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0006,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0089,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0031,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0067,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0405,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0211,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0010,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0010,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"2,368,494.9831",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"32,943.0212",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"4,536,784.0345",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"148,455.4979",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"85,145.1066",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"3,978,895.8979",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,可可粉,,"1,035.7311",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食用油(棕櫚油),,"2,362.1534",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"528,868.8541",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"8,191,548.6402",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,酵母,,496.0908,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"1,030,616.2047",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,砂糖,,719.8320,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,麵粉,,"9,993.6633",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,奶粉,,"3,006.3773",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,檸檬酸,,532.9664,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,可可粉,,903.7243,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,酵母,,126.5279,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,麵粉,,"14,929.8014",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,229.2880,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食鹽,,336.2226,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,奶粉,,"1,135.2269",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"3,846,865.8913",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,56.2971,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,砂糖,,"8,908.7736",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,砂糖,,"2,934.7254",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,128.8484,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"1,637,762.3443",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"400,905.8263",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,玉米澱粉,,"7,665.6018",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,可可粉,,148.2480,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,奶粉,,"3,157.4866",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,可可粉,,82.2544,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"4,614,478.1693",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,食品級CO2,,"2,634.1826",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,麵粉,,"2,904.5741",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,785.9682,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,643.7945,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,玻璃瓶,,"25,681,292.9614",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鋁罐,,"3,518,652.0752",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,奶粉,,157.8054,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"764,641.3601",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,麵粉,,"11,503.7220",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,電力,,"10,706,698.4593",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"276,295.7049",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,141.3860,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,81.0365,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"43,092.3091",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.0527,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.0927,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.7396,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.2410,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.0614,公噸,冷媒設備清冊,環保課,自行評估
其他未分類製程-其他未歸類設施,其他電力,外購電力,"6,799.4034",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),11.3239,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),5.2505,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),1.3779,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),8.8781,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0117,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"325,551.9826",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.2682,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0007,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-獨立商用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0051,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0351,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0068,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-獨立商用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0012,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,HFC-32/R-32二氟甲烷，CH2F2,逸散 (F),0.0092,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0015,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0187,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,HFC-23/R-23三氟甲烷，CHF3,逸散 (F),0.0070,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0208,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0014,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"712,662.2092",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"1,894,856.4602",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"1,820,537.3782",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"42,581.5689",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"243,651.7221",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"77,643.5799",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,麵粉,,"7,897.4808",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,檸檬酸,,344.5440,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"202,959.0653",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,"1,657.3735",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"1,621,137.7808",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,玉米澱粉,,"13,537.2278",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,酵母,,418.1496,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,217.8088,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"2,616,299.4323",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食用油(大豆油),,"5,543.9387",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鋁罐,,"4,529,345.2543",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"616,138.2272",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,果糖,,741.9912,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食品級CO2,,682.4172,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,"1,835.6533",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"284,903.8963",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,奶粉,,481.9764,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食用油(棕櫚油),,527.2668,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,酵母,,96.6569,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,生乳,,"9,470.0234",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,玻璃瓶,,"4,084,371.7275",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,檸檬酸,,151.2808,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,可可粉,,"1,242.5888",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,可可粉,,431.9916,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"3,977,035.8957",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"571,757.1195",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,砂糖,,"3,460.8939",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"8,247,617.3633",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"256,235.2046",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,可可粉,,201.7531,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"1,837,161.3365",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,奶粉,,"1,629.2412",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,玉米澱粉,,"1,746.2849",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,食用油(棕櫚油),,"1,872.8160",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,麵粉,,"7,608.1522",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,果糖,,867.8985,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,電力,,"31,805,500.2880",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"1,608,058.1125",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,383.5272,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,170.1449,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"21,280.0478",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),1.1722,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.1772,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.0182,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.1101,公噸,冷媒設備清冊,環保課,自行評估
其他未分類製程-其他未歸類設施,其他電力,外購電力,"9,824.9417",千度,台電電費單,總務課,連續量測
引擎發電程序-柴油引擎,柴油,固定 (E),1.7604,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,柴油,移動 (T),8.2284,公秉,購入發票,總務課,定期(間歇)量測
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),4.9770,公秉,購入發票,總務課,定期(間歇)量測
非製造程序-堆高機,車用汽油,移動 (T),2.2735,公秉,購入發票,總務課,定期(間歇)量測
消防活動-消防設施,滅火器,逸散 (F),0.0061,公噸,使用量,工安課,定期(間歇)量測
水肥處理程序-化糞池,水肥,逸散 (F),"459,143.7950",人小時,工時紀錄,工安課,定期(間歇)量測
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0159,公噸,採購紀錄,採購部,定期(間歇)量測
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0054,公噸,採購紀錄,採購部,定期(間歇)量測
冷媒補充-獨立商用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0002,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0399,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0105,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0095,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,PFC-14，四氟化碳，CF4,逸散 (F),0.0017,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0001,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-冰水機,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0160,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0034,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-家用冷凍、冷藏裝備,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0004,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-住宅及商業建築冷氣機,R-508A，HFC-23/PFC-116(39.0/61.0),逸散 (F),0.0004,公噸,冷媒設備清冊,環保課,自行評估
陸運,採購貨物上游運輸與配送產生之排放,--,"400,112.6690",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
陸運,貨物下游運輸與配送產生之排放,--,"2,751,516.6390",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,採購貨物上游運輸與配送產生之排放,--,"239,121.6799",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
海運,貨物下游運輸與配送產生之排放,--,"38,625.1819",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,採購貨物上游運輸與配送產生之排放,--,"14,918.6241",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
空運,貨物下游運輸與配送產生之排放,--,"258,051.7913",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測
購買商品之上游排放,食品級CO2,,845.1305,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,砂糖,,"13,834.5237",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,砂糖,,"1,078.1309",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,酵母,,23.7900,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,麵粉,,"16,022.4930",公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,瓦楞紙箱,,"3,300,018.2889",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,砂糖,,"2,659.1790",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"3,218,027.4400",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,可可粉,,106.7074,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,玻璃瓶,,"3,460,152.2268",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,鋁罐,,"12,646,206.2229",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,塑膠膜包材,,"255,193.2280",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,鋁罐,,"1,553,327.8841",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,鋁罐,,"611,559.9092",kg,ERP,總務課,定期(間歇)量測
購買商品之上游排放,檸檬酸,,56.6022,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,玉米澱粉,,"1,087.0907",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,檸檬酸,,405.7261,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,可可粉,,154.8721,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,玻璃瓶,,"2,312,265.8380",kg,ERP,財務,定期(間歇)量測
購買商品之上游排放,食品級CO2,,"2,302.1166",公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,食品級CO2,,614.7505,公噸,ERP,總務課,定期(間歇)量測
購買商品之上游排放,檸檬酸,,69.3977,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,PET 瓶坯,,"7,816,629.4615",kg,ERP,採購部,定期(間歇)量測
購買商品之上游排放,生乳,,"6,308.8301",公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,食鹽,,170.1012,公噸,ERP,採購部,定期(間歇)量測
購買商品之上游排放,檸檬酸,,90.2976,公噸,ERP,財務,定期(間歇)量測
購買商品之上游排放,電力,,"25,684,200.5920",kwh,台電電費單,總務課,連續量測
購買商品之上游排放,自來水,,"566,414.3306",度,台灣自來水水費單,總務課,連續量測
一般事業廢棄物-焚化,處置,,154.1127,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-掩埋,處置,,193.7126,mt,環境部申報紀錄,環保課,定期(間歇)量測
一般事業廢棄物-運輸,運輸,,"10,483.1517",tkm,環境部申報紀錄、Google map,環保課,定期(間歇)量測
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),0.8217,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-氨冷凍系統,氨(NH3)冷媒,逸散 (F),1.2745,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.0203,公噸,冷媒設備清冊,環保課,自行評估
冷媒補充-中、大型冷凍、冷藏裝備,氨(NH3)冷媒,逸散 (F),0.6722,公噸,冷媒設備清冊,環保課,自行評估
