Scope 3 Category,ERP ID,Item Name,自動匹配係數,Spec/Grade,Qty,Unit,Total (TWD),Mapping Hint,lookup_keyword,lookup_factor_name,lookup_factor_value,lookup_factor_unit,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
Category 1 (Purchased Goods),EXP-10036,環氧樹脂 (Epoxy),0,E-44 Low Viscosity,623,t,36134000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg ,Idemat,EU,2024,0.785190284252167,此為國際平均值，實際情況可能因地區而異,3,環氧樹脂 (Epoxy) E-44 Low Viscosity,procurement_workbook,化學與塑膠加工業,3768061.295663,3768.061295663,已計算,Qty 623 t -> 623000 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10037,ABS 樹脂顆粒,0,Injection Grade / High Impact,1078,t,45276000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,3341800,3341.8,已計算,Qty 1078 t -> 1.078e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10038,工業級催化劑,0,Platinum Based / Powder,3490,kg,5409500,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,3839188.46,3839.18846,已計算,Qty 3490 kg -> 3490 kg; * factor
Category 1 (Purchased Goods),EXP-10039,環氧樹脂 (Epoxy),3.1,E-44 Low Viscosity,4266,t,247428000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"EMAA (Ethylene-Methacrylic Acid Copolymer), without water",6.048252481,kg CO2e/kg ,Idemat,EU,2024,0.785190284252167,此為國際平均值，實際情況可能因地區而異,3,環氧樹脂 (Epoxy) E-44 Low Viscosity,procurement_workbook,化學與塑膠加工業,25801845.083946,25801.845083946,已計算,Qty 4266 t -> 4.266e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10040,工業級催化劑,0,Platinum Based / Powder,2387,kg,3699850,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,2625828.898,2625.828898,已計算,Qty 2387 kg -> 2387 kg; * factor
Category 1 (Purchased Goods),EXP-10041,ABS 樹脂顆粒,0,Injection Grade / High Impact,3016,t,126672000,WBCSD Material Method,ABS,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,已匹配,係數對照表,0,係數對照表,工程塑料-丙烯腈-丁二烯-苯乙烯,3.1,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,ABS 樹脂顆粒 Injection Grade / High Impact 工程塑料-丙烯腈-丁二烯-苯乙烯,procurement_workbook,化學與塑膠加工業,9349600,9349.6,已計算,Qty 3016 t -> 3.016e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10042,工業級催化劑,0,Platinum Based / Powder,2895,kg,4487250,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,3184656.33,3184.65633,已計算,Qty 2895 kg -> 2895 kg; * factor
Category 1 (Purchased Goods),EXP-10043,乙烯單體 (Ethylene),3.1,99.9% Purity,698,t,19544000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,1960160.074688,1960.160074688,已計算,Qty 698 t -> 698000 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10044,乙烯單體 (Ethylene),0,99.9% Purity,4297,t,120316000,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,Ethylene glycol diethyl ether,2.808252256,kg CO2e/kg ,Idemat,EU,2024,0.756330490112305,此為國際平均值，實際情況可能因地區而異,3,乙烯單體 (Ethylene) 99.9% Purity,procurement_workbook,化學與塑膠加工業,12067059.944032,12067.059944032,已計算,Qty 4297 t -> 4.297e+06 kg; * factor (公噸/t/mt 轉 kg)
Category 1 (Purchased Goods),EXP-10045,工業級催化劑,0,Platinum Based / Powder,2157,kg,3343350,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,"Platinum, CRM (secondary)",1100.054,kg CO2e/kg,FootprintCalc,Global,2023,0.838165760040283,此為國際平均值，實際情況可能因地區而異,3,工業級催化劑 Platinum Based / Powder,procurement_workbook,化學與塑膠加工業,2372816.478,2372.816478,已計算,Qty 2157 kg -> 2157 kg; * factor
