製程及設施名稱,原燃物料或產品名稱,排放型式,活動數據,活動數據單位,數據來源表單名稱,保存單位,活動數據種類,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"2,334.4660",公噸,天然氣收費單,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.800513863563538,,1,白雲石 白雲石 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"9,080.6278",公噸,原料去向耗用表,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.800513863563538,,1,白雲石 白雲石 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
精煉製程-鋼桶精煉爐(LF),白雲石,製程 (P),"2,313.6464",公噸,天然氣收費單,軋鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.800513863563538,,1,白雲石 白雲石 精煉製程-鋼桶精煉爐(LF) 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
石灰煅燒製程-石灰窯,石灰石,製程 (P),"16,045.1348",公噸,天然氣收費單,環保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.874765813350677,,3,石灰石 石灰石 limestone calcium carbonate 石灰煅燒製程-石灰窯 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
石灰煅燒製程-石灰窯,石灰石,製程 (P),"72,544.4704",公噸,天然氣收費單,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,水泥砂漿(1:3),437,m3,Taiwan EPA,TW,2015,0.874765813350677,,3,石灰石 石灰石 limestone calcium carbonate 石灰煅燒製程-石灰窯 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公噸, factor_unit=m3"
連續鑄造製程-鑄造機,天然氣,固定 (E),"9,815.2046",千立方公尺,購入發票,環保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.826836407184601,,3,天然氣 天然氣 natural gas 連續鑄造製程-鑄造機 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,25323227.868,25323.227868,已計算,活動數據 9815.2 千立方公尺 -> 9.8152e+06 m3; * factor (千立方公尺轉 m3)
連續鑄造製程-鑄造機,天然氣,固定 (E),"10,837.5793",千立方公尺,天然氣收費單,生產部門,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.826836407184601,,3,天然氣 天然氣 natural gas 連續鑄造製程-鑄造機 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,27960954.594,27960.954594,已計算,活動數據 10837.6 千立方公尺 -> 1.08376e+07 m3; * factor (千立方公尺轉 m3)
連續鑄造製程-鑄造機,天然氣,固定 (E),"1,887.3724",千立方公尺,購入發票,煉鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,天然氣(於固定源使用，2018),2.58,m3,Taiwan EPA,TW,2020,0.826836407184601,,3,天然氣 天然氣 natural gas 連續鑄造製程-鑄造機 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,4869420.792,4869.420792,已計算,活動數據 1887.37 千立方公尺 -> 1.88737e+06 m3; * factor (千立方公尺轉 m3)
加熱爐製程-軋延加熱爐,天然氣,固定 (E),"2,071.8393",千立方公尺,地磅紀錄,軋鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),1.69,mt,Taiwan EPA,TW,2016,0.850899517536163,,3,天然氣 天然氣 natural gas 加熱爐製程-軋延加熱爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
加熱爐製程-軋延加熱爐,天然氣,固定 (E),"12,532.1811",千立方公尺,購入發票,生產部門,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),1.69,mt,Taiwan EPA,TW,2016,0.850899517536163,,3,天然氣 天然氣 natural gas 加熱爐製程-軋延加熱爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
加熱爐製程-軋延加熱爐,重油,固定 (E),524.4739,公秉,天然氣收費單,環保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,燃料油使用(蒸餘油/重油使用，2015),4,l,Taiwan EPA,TW,2017,0.836547911167145,,3,重油 重油 heavy fuel oil 加熱爐製程-軋延加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
加熱爐製程-軋延加熱爐,重油,固定 (E),758.2972,公秉,原料去向耗用表,煉鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,燃料油使用(蒸餘油/重油使用，2015),4,l,Taiwan EPA,TW,2017,0.836547911167145,,3,重油 重油 heavy fuel oil 加熱爐製程-軋延加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
加熱爐製程-軋延加熱爐,重油,固定 (E),"1,085.7652",公秉,原料去向耗用表,環保課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,燃料油使用(蒸餘油/重油使用，2015),4,l,Taiwan EPA,TW,2017,0.836547911167145,,3,重油 重油 heavy fuel oil 加熱爐製程-軋延加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
加熱爐製程-軋延加熱爐,重油,固定 (E),130.8476,公秉,地磅紀錄,軋鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,燃料油使用(蒸餘油/重油使用，2015),4,l,Taiwan EPA,TW,2017,0.836547911167145,,3,重油 重油 heavy fuel oil 加熱爐製程-軋延加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
鍋爐蒸氣產生程序-工業鍋爐,天然氣,固定 (E),"2,151.4407",千立方公尺,天然氣收費單,煉鋼課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),4.98,mt,Taiwan EPA,TW,2022,0.848124504089355,,3,天然氣 天然氣 natural gas 鍋爐蒸氣產生程序-工業鍋爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
鍋爐蒸氣產生程序-工業鍋爐,天然氣,固定 (E),"7,484.2942",千立方公尺,天然氣收費單,生產部門,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,氣冷高爐石級配料(散裝),4.98,mt,Taiwan EPA,TW,2022,0.848124504089355,,3,天然氣 天然氣 natural gas 鍋爐蒸氣產生程序-工業鍋爐 固定 (E) 千立方公尺,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千立方公尺, factor_unit=mt"
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),182.6922,公秉,地磅紀錄,生產部門,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.868073105812073,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 鍍鋅製程-鋅鍋加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),491.4767,公秉,購入發票,軋鋼課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.868073105812073,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 鍍鋅製程-鋅鍋加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
鍍鋅製程-鋅鍋加熱爐,液化石油氣,固定 (E),238.0883,公秉,購入發票,環保課,連續量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,液化石油氣(於固定源使用，2015),2.26,l,Taiwan EPA,TW,2017,0.868073105812073,,3,液化石油氣 液化石油氣 liquefied petroleum gas LPG 鍍鋅製程-鋅鍋加熱爐 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
其他未分類製程-其他未歸類設施,其他電力,外購電力,"19,436.6427",千度,台電電費單,總務課,連續量測,已匹配,標準門檻,2,Tier 2 - 國際產業,"Electricity Low Voltage, domestic use General",0.162380925,kg CO2e/MJ ,Idemat,EU,2024,0.811118304729462,此為國際平均值，實際情況可能因地區而異,3,其他電力 其他電力 electricity power 其他未分類製程-其他未歸類設施 外購電力 千度,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=千度, factor_unit=kg CO2e/MJ "
引擎發電程序-柴油引擎,柴油,固定 (E),13.2205,公秉,購入發票,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,柴油（於水路運輸移動源使用，2017）,3.37,l,Taiwan EPA,TW,2019,0.845843553543091,,3,柴油 柴油 diesel fuel 引擎發電程序-柴油引擎 固定 (E) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
交通運輸活動-運輸作業車輛,柴油,移動 (T),43.1920,公秉,購入發票,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,柴油（於鐵路運輸與非道路運輸移動源使用，2016）,3.61,l,Taiwan EPA,TW,2018,0.906787395477295,,3,柴油 柴油 diesel fuel 交通運輸活動-運輸作業車輛 移動 (T) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
交通運輸活動-運輸作業車輛,車用汽油,移動 (T),5.6262,公秉,購入發票,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,柴油（於鐵路運輸與非道路運輸移動源使用，2016）,3.61,l,Taiwan EPA,TW,2018,0.872793078422546,,3,車用汽油 車用汽油 gasoline petrol 交通運輸活動-運輸作業車輛 移動 (T) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
非製造程序-堆高機,車用汽油,移動 (T),15.1678,公秉,購入發票,總務課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,柴油（於鐵路運輸與非道路運輸移動源使用，2018）,3.6,l,Taiwan EPA,TW,2020,0.860475480556488,,3,車用汽油 車用汽油 gasoline petrol 非製造程序-堆高機 移動 (T) 公秉,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=公秉, factor_unit=l"
消防活動-消防設施,滅火器,逸散 (F),0.0345,公噸,使用量,工安課,定期(間歇)量測,已匹配,標準門檻,2,Tier 2 - 國際產業,Blast furnace gas,0.000247,kg CO2e/tonne,GHG Protocol Cross-Sector v2.0 (2024),Global,2024,0.747565865516663,此為國際平均值，實際情況可能因地區而異,3,滅火器 滅火器 消防活動-消防設施 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,0.0000085215,0.0000000085215,已計算,活動數據 0.0345 公噸 -> 0.0345 t; * factor
水肥處理程序-化糞池,水肥,逸散 (F),"608,743.4255",人小時,工時紀錄,工安課,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,廢(污)水處理服務(科技部新竹科學工業園區管理局竹南園區污水處理廠),0.553,m3,Taiwan EPA,TW,2020,0.831236124038696,,3,水肥 水肥 水肥處理程序-化糞池 逸散 (F) 人小時,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=人小時, factor_unit=m3"
維修保養程序-其他未歸類設施,乙炔,製程 (P),0.0996,公噸,採購紀錄,採購部,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢壓縮機/廢馬達二次拆解-廢鋁,0.14,kg,Taiwan EPA,TW,2015,0.820680499076843,,3,乙炔 乙炔 維修保養程序-其他未歸類設施 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,13.944,0.013944,已計算,活動數據 0.0996 公噸 -> 99.6 kg; * factor (公噸/t/mt 轉 kg)
維修保養程序-點焊設施,銲條、棒,製程 (P),0.0058,公噸,採購紀錄,採購部,定期(間歇)量測,已匹配,標準門檻,2,Tier 2 - 國際產業,"Mechanical recycled pellets (rPET, rPE, rPP, rPVC), downcycl",0.552,kg CO2e/kg,FootprintCalc,Global,2023,0.774117946624756,此為國際平均值，實際情況可能因地區而異,3,銲條、棒 銲條、棒 維修保養程序-點焊設施 製程 (P) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,3.2016,0.0032016,已計算,活動數據 0.0058 公噸 -> 5.8 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-獨立商用冷凍、冷藏裝備,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0),逸散 (F),0.0036,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢冷暖氣機-廢R22冷媒,0.48,kg,Taiwan EPA,TW,2015,0.802428781986237,,1,冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0) 冷媒-R-404A，HFC-125/HFC-143a/HFC-134a(44.0/52.0/4.0) 冷媒補充-獨立商用冷凍、冷藏裝備 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,1.728,0.001728,已計算,活動數據 0.0036 公噸 -> 3.6 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-冰水機,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0),逸散 (F),0.0119,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢冷暖氣機-廢R22冷媒,0.48,kg,Taiwan EPA,TW,2015,0.807175099849701,,1,冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0) 冷媒-R-407C，HFC-32/HFC-125/HFC-134a(23.0/25.0/52.0) 冷媒補充-冰水機 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,5.712,0.005712,已計算,活動數據 0.0119 公噸 -> 11.9 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-冰水機,PFC-14，四氟化碳，CF4,逸散 (F),0.0042,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢冷暖氣機-廢R22冷媒,0.48,kg,Taiwan EPA,TW,2015,0.808542430400848,,2,PFC-14，四氟化碳，CF4 PFC-14，四氟化碳，CF4 冷媒補充-冰水機 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,2.016,0.002016,已計算,活動數據 0.0042 公噸 -> 4.2 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-住宅及商業建築冷氣機,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0023,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢冷暖氣機-廢R22冷媒,0.48,kg,Taiwan EPA,TW,2015,0.836208581924438,,3,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 冷媒補充-住宅及商業建築冷氣機 逸散 (F) 公噸",table4_activity_csv,表4-1_鋼鐵業_合成,1.104,0.001104,已計算,活動數據 0.0023 公噸 -> 2.3 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-中、大型冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0012,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,2,Tier 2 - 國際產業,R-134a,0.038316904,kg CO2e/kg ,Idemat,EU,2024,0.854765474796295,此為國際平均值，實際情況可能因地區而異,3,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 冷媒補充-中、大型冷凍、冷藏裝備 逸散 (F) 公噸",table4_activity_csv,表4-1_鋼鐵業_合成,0.0459802848,0.0000459802848,已計算,活動數據 0.0012 公噸 -> 1.2 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-獨立商用冷凍、冷藏裝備,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0),逸散 (F),0.0061,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,1,Tier 1 - 台灣本地,再生料-廢冷暖氣機-廢R22冷媒,0.48,kg,Taiwan EPA,TW,2015,0.810219883918762,,1,冷媒-R-410A，HFC-32/HFC-125(50.0/50.0) 冷媒-R-410A，HFC-32/HFC-125(50.0/50.0) 冷媒補充-獨立商用冷凍、冷藏裝備 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,2.928,0.002928,已計算,活動數據 0.0061 公噸 -> 6.1 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-獨立商用冷凍、冷藏裝備,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4",逸散 (F),0.0193,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,2,Tier 2 - 國際產業,R-134a,0.038316904,kg CO2e/kg ,Idemat,EU,2024,0.854820609092712,此為國際平均值，實際情況可能因地區而異,3,"HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 HFC-134a/R-134a，1,1,1,2-四氟乙烷，C2H2F4 冷媒補充-獨立商用冷凍、冷藏裝備 逸散 (F) 公噸",table4_activity_csv,表4-1_鋼鐵業_合成,0.7395162472,0.0007395162472,已計算,活動數據 0.0193 公噸 -> 19.3 kg; * factor (公噸/t/mt 轉 kg)
冷媒補充-中、大型冷凍、冷藏裝備,R-507A，HFC-125/HFC-143a(50.0/50.0),逸散 (F),0.0017,公噸,冷媒設備清冊,環保課,自行評估,已匹配,標準門檻,2,Tier 2 - 國際產業,R-134a,0.038316904,kg CO2e/kg ,Idemat,EU,2024,0.767861604690552,此為國際平均值，實際情況可能因地區而異,3,R-507A，HFC-125/HFC-143a(50.0/50.0) R-507A，HFC-125/HFC-143a(50.0/50.0) 冷媒補充-中、大型冷凍、冷藏裝備 逸散 (F) 公噸,table4_activity_csv,表4-1_鋼鐵業_合成,0.0651387368,0.0000651387368,已計算,活動數據 0.0017 公噸 -> 1.7 kg; * factor (公噸/t/mt 轉 kg)
陸運,採購貨物上游運輸與配送產生之排放,--,"2,151,379.7822",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,國內海運貨物運輸服務(柴油動力),0.0334,tkm,Taiwan EPA,TW,2016,0.823974549770355,,3,採購貨物上游運輸與配送產生之排放 採購貨物上游運輸與配送產生之排放 陸運 -- tkm,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=tkm, factor_unit=tkm"
陸運,貨物下游運輸與配送產生之排放,--,"19,198.1026",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,國內海運貨物運輸服務(柴油動力),0.0334,tkm,Taiwan EPA,TW,2016,0.824778079986572,,3,貨物下游運輸與配送產生之排放 貨物下游運輸與配送產生之排放 陸運 -- tkm,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=tkm, factor_unit=tkm"
海運,採購貨物上游運輸與配送產生之排放,--,"26,301.7868",tkm,ERP、Google map、marine online,採購部,定期(間歇)量測,已匹配,標準門檻,1,Tier 1 - 台灣本地,國內海運貨物運輸服務(柴油動力),0.0334,tkm,Taiwan EPA,TW,2016,0.830972790718079,,3,採購貨物上游運輸與配送產生之排放 採購貨物上游運輸與配送產生之排放 海運 -- tkm,table4_activity_csv,表4-1_鋼鐵業_合成,,,待人工確認,"無可用數量/金額或單位不相容: source=tkm, factor_unit=tkm"
