Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
RP-0019,113學年度第1學期美勞材料採購,113學年度第1學期美勞材料採購,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度第1學期美勞材料採購 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614792；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0020,鋁合金床架等5項,鋁合金床架等5項,金屬／五金,傢具,公開決標採購品名,傢具,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,鋁合金床架等5項 / 傢具 / 金屬加工 / 金屬 / 五金 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614796；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,金屬加工
RP-0021,羅莎機械手臂導航手術系統租賃採購案,羅莎機械手臂導航手術系統租賃,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,羅莎機械手臂導航手術系統租賃 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614800；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0022,113-117年度高雄市公有路邊停車開單設備租賃及維運案,113-117年度高雄市公有路邊停車開單設備租賃及維運案,機械／零組件,其他特殊用途之機具及其零件,公開決標採購品名,其他特殊用途之機具及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113-117年度高雄市公有路邊停車開單設備租賃及維運案 / 其他特殊用途之機具及其零件 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614806；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0023,113年光復校區館舍網路線路更新一批,113年光復校區館舍網路線路更新,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年光復校區館舍網路線路更新 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614815；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0024,「檢驗用試劑耗材及農藥標準品」壹批,「檢驗用試劑耗材及農藥標準品」,醫療用品／藥品,醫藥產品,公開決標採購品名,醫藥產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,「檢驗用試劑耗材及農藥標準品」 / 醫藥產品 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614817；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0025,直立式電催化製氫鍍膜設備機構製作,直立式電催化製氫鍍膜設備機構製作,機械／零組件,其他特殊用途之機具及其零件,公開決標採購品名,其他特殊用途之機具及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,直立式電催化製氫鍍膜設備機構製作 / 其他特殊用途之機具及其零件 / 機械設備 / 機械 / 零組件 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614818；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,機械設備
RP-0026,113學年度學校外訂午餐(含後續擴充)採購案,113學年度學校外訂午餐(含後續擴充),食品／農產,"穀粉,澱粉及澱粉製品;其他食品",公開決標採購品名,"穀粉,澱粉及澱粉製品;其他食品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度學校外訂午餐(含後續擴充) / 穀粉 / 澱粉及澱粉製品 / 其他食品 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614829；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0027,空氣品質監測站監測儀器設備一批,空氣品質監測站監測儀器設備,電力設備／電材,電力傳輸、控制設備及其零件,公開決標採購品名,電力傳輸、控制設備及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,空氣品質監測站監測儀器設備 / 電力傳輸、控制設備及其零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614861；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0028,113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(雜貨蔬果及蛋品組),113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(雜貨蔬果及蛋品組),食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(雜貨蔬果及蛋品組) / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614865；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0029,113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(冷凍肉品及魚肉組),113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(冷凍肉品及魚肉組),食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度下半年嘉義地區矯正機關收容人副食品聯合採購案(冷凍肉品及魚肉組) / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614867；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0030,EMU500型頂內封環等3項用料,EMU500型頂內封環等3項用料,其他財物,鐵路及電車軌道之機車及其零件,公開決標採購品名,鐵路及電車軌道之機車及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,EMU500型頂內封環等3項用料 / 鐵路及電車軌道之機車及其零件 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614886；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0031,日用煤倉控制盤冷卻裝置備品一批,日用煤倉控制盤冷卻裝置備品,電力設備／電材,其他電力設備及零件,公開決標採購品名,其他電力設備及零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,日用煤倉控制盤冷卻裝置備品 / 其他電力設備及零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614889；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0032,113-115年機器人小組72項醫材單價合約招標案,113-115年機器人小組72項醫材單價合約招標案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113-115年機器人小組72項醫材單價合約招標案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614893；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0033,113年度學員宿舍廣播系統汰換採購案,113年度學員宿舍廣播系統汰換,通訊／電子設備,"收音機、電視,通訊器材及儀器",公開決標採購品名,"收音機、電視,通訊器材及儀器",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度學員宿舍廣播系統汰換 / 收音機、電視 / 通訊器材及儀器 / 電子通訊 / 通訊 / 電子設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614901；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電子通訊
RP-0034,放射診斷部Canon數位X光機維修案,放射診斷部Canon數位X光機維修案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,放射診斷部Canon數位X光機維修案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614912；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0035,南投縣立名間國民中學「113學年度營養午餐公辦民營廠商評選」採購案,南投縣立名間國民中學「113學年度營養午餐公辦民營廠商評選」,食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,南投縣立名間國民中學「113學年度營養午餐公辦民營廠商評選」 / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614918；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0036,113學年度畢業紀念冊採購,113學年度畢業紀念冊採購,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度畢業紀念冊採購 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614929；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
RP-0037,113年花蓮市民代表會機關首長座車(電動車)及充電設備採購,113年花蓮市民代表會機關首長座車(電動車)及充電設備採購,車輛／運輸設備,"機動車,拖車,半拖車;車輛機件",公開決標採購品名,"機動車,拖車,半拖車;車輛機件",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年花蓮市民代表會機關首長座車(電動車)及充電設備採購 / 機動車 / 拖車 / 半拖車 / 車輛機件 / 運輸設備 / 車輛 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614947；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,運輸設備
RP-0038,外復進簧等38項,外復進簧等38項,金屬／五金,結構金屬產品及其零件,公開決標採購品名,結構金屬產品及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,外復進簧等38項 / 結構金屬產品及其零件 / 金屬加工 / 金屬 / 五金 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614948；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,金屬加工
RP-0039,總辦公廳會議室麥克風及視訊系統規劃建置,總辦公廳會議室麥克風及視訊系統規劃建置,通訊／電子設備,"收音機、電視,通訊器材及儀器",公開決標採購品名,"收音機、電視,通訊器材及儀器",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,總辦公廳會議室麥克風及視訊系統規劃建置 / 收音機、電視 / 通訊器材及儀器 / 電子通訊 / 通訊 / 電子設備 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614957；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電子通訊
RP-0040,新竹臺大分院內視鏡主機及鏡子一批,新竹臺大分院內視鏡主機及鏡子,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,新竹臺大分院內視鏡主機及鏡子 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614964；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0041,113年度平台鋼琴財物採購案,113年度平台鋼琴財物,金屬／五金,樂器,公開決標採購品名,樂器,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年度平台鋼琴財物 / 樂器 / 金屬加工 / 金屬 / 五金 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614966；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,金屬加工
RP-0042,彰化縣和美鎮培英國民小學附設幼兒園113學年度午餐、點心生鮮食材委外供應採購,彰化縣和美鎮培英國民小學附設幼兒園113學年度午餐、點心生鮮食材委外供應採購,食品／農產,"肉類,魚,果實,蔬菜,及油脂",公開決標採購品名,"肉類,魚,果實,蔬菜,及油脂",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,彰化縣和美鎮培英國民小學附設幼兒園113學年度午餐、點心生鮮食材委外供應採購 / 肉類 / 魚 / 果實 / 蔬菜 / 及油脂 / 食品農產 / 食品 / 農產 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614970；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,食品農產
RP-0043,113年總院及癌醫中心分院機器人小組72項醫材單價合約招標案,113年總院及癌醫中心分院機器人小組72項醫材單價合約招標案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年總院及癌醫中心分院機器人小組72項醫材單價合約招標案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614976；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0044,UPS控制卡片一批,UPS控制卡片,電力設備／電材,電力傳輸、控制設備及其零件,公開決標採購品名,電力傳輸、控制設備及其零件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,UPS控制卡片 / 電力傳輸、控制設備及其零件 / 電機電控 / 電力設備 / 電材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614979；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,電機電控
RP-0045,無切削液高速切齒系統強力刮齒連續切齒機,無切削液高速切齒系統強力刮齒連續切齒機,其他財物,"工具機,其零件及附件",公開決標採購品名,"工具機,其零件及附件",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,無切削液高速切齒系統強力刮齒連續切齒機 / 工具機 / 其零件及附件 / 其他產業 / 其他財物 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614987；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,其他產業
RP-0046,113年微軟授權系統軟體環境建置採購案,113年微軟授權系統軟體環境建置,資訊設備／軟體,計算機及其零件與配件,公開決標採購品名,計算機及其零件與配件,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113年微軟授權系統軟體環境建置 / 計算機及其零件與配件 / 資訊電子 / 資訊設備 / 軟體 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70614999；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,資訊電子
RP-0047,液體硫酸鋁乙批第1次後續擴充續約(契約變更),液體硫酸鋁乙批第1次後續擴充續約(契約變更),金屬／五金,基本化學產品,公開決標採購品名,基本化學產品,採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,液體硫酸鋁乙批第1次後續擴充續約(契約變更) / 基本化學產品 / 金屬加工 / 金屬 / 五金 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615006；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,金屬加工
RP-0048,中央生理監視器(12床)等案,中央生理監視器(12床)等案,醫療用品／藥品,"醫療,外科及矯形設備",公開決標採購品名,"醫療,外科及矯形設備",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,中央生理監視器(12床)等案 / 醫療 / 外科及矯形設備 / 醫療生技 / 醫療用品 / 藥品 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615027；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,醫療生技
RP-0049,113學年度上學期學習材料採購,113學年度上學期學習材料採購,紙品／印刷／包材,"紙漿,紙及紙產品;印刷品及相關的商品",公開決標採購品名,"紙漿,紙及紙產品;印刷品及相關的商品",採購名稱／官方財物次分類／產業分類／Scope 3候選,,範疇3 類別1,113學年度上學期學習材料採購 / 紙漿 / 紙及紙產品 / 印刷品及相關的商品 / 包材印刷 / 紙品 / 印刷 / 包材 / 範疇3 類別1,公開資料候選，需人工覆核,來源紀錄ID=BDM-1-70615028；真實公開決標紀錄；標準品名、產業與Scope 3為規則式候選，需人工覆核,包材印刷
