Training ID,原始採購品名,標準品名,大類,子類,資料型態,主要材料,建議規格欄位,常用單位,Scope 3候選類別,排放係數匹配關鍵字,資料品質,訓練備註,適用產業
PI-0023,鋁合金板6061 常用規格,鋁合金板6061,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0024,鋁合金板6061-採購,鋁合金板6061,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0025,鋁擠型材,鋁擠型材,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0026,鋁擠型材 kg,鋁擠型材,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0027,鋁擠型材 常用規格,鋁擠型材,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0028,鋁擠型材-採購,鋁擠型材,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0029,圓鋼棒,圓鋼棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0030,圓鋼棒 kg,圓鋼棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0031,圓鋼棒 常用規格,圓鋼棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0032,圓鋼棒-採購,圓鋼棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0033,不鏽鋼圓棒,不鏽鋼圓棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0034,不鏽鋼圓棒 kg,不鏽鋼圓棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0035,不鏽鋼圓棒 常用規格,不鏽鋼圓棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0036,不鏽鋼圓棒-採購,不鏽鋼圓棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0037,黃銅棒,黃銅棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0038,黃銅棒 kg,黃銅棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0039,黃銅棒 常用規格,黃銅棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0040,黃銅棒-採購,黃銅棒,金屬原料,碳鋼/不鏽鋼/鋁材,原料,鋼/鋁/銅,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,kg,範疇3 類別1,steel / stainless steel / aluminium / copper,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,金屬加工/機械/工程
PI-0041,六角螺絲,六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0042,六角螺絲 pcs,六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0043,六角螺絲 常用規格,六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0044,六角螺絲-採購,六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0045,內六角螺絲,內六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0046,內六角螺絲 pcs,內六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0047,內六角螺絲 常用規格,內六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0048,內六角螺絲-採購,內六角螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0049,十字機械螺絲,十字機械螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0050,十字機械螺絲 pcs,十字機械螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0051,十字機械螺絲 常用規格,十字機械螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0052,十字機械螺絲-採購,十字機械螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0053,自攻螺絲,自攻螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0054,自攻螺絲 pcs,自攻螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0055,自攻螺絲 常用規格,自攻螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0056,自攻螺絲-採購,自攻螺絲,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0057,六角螺帽,六角螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0058,六角螺帽 pcs,六角螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0059,六角螺帽 常用規格,六角螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0060,六角螺帽-採購,六角螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0061,尼龍防鬆螺帽,尼龍防鬆螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0062,尼龍防鬆螺帽 pcs,尼龍防鬆螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0063,尼龍防鬆螺帽 常用規格,尼龍防鬆螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0064,尼龍防鬆螺帽-採購,尼龍防鬆螺帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0065,平華司,平華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0066,平華司 pcs,平華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0067,平華司 常用規格,平華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0068,平華司-採購,平華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0069,彈簧華司,彈簧華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0070,彈簧華司 pcs,彈簧華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0071,彈簧華司 常用規格,彈簧華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0072,彈簧華司-採購,彈簧華司,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0073,牙條,牙條,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0074,牙條 pcs,牙條,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0075,牙條 常用規格,牙條,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0076,牙條-採購,牙條,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0077,拉帽,拉帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0078,拉帽 pcs,拉帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0079,拉帽 常用規格,拉帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0080,拉帽-採購,拉帽,標準扣件,螺絲/螺帽/墊圈,零組件,鋼/不鏽鋼,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,steel fastener,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/電子/工程
PI-0081,深溝滾珠軸承,深溝滾珠軸承,軸承傳動,軸承/皮帶/鏈條,零組件,鋼/橡膠/工程塑膠,牌號/尺寸/厚度/硬度/表面處理/包裝量（依品項填寫）,pcs,範疇3 類別1,machinery components,中,可用於品名標準化、分類與排放係數候選匹配；不可直接當作活動數據。,機械/自動化
